Геодезический четырехугольник (Вариант 20)
3 12 0 2 4
A	1080.000	140.000
B	1590.000	660.000
C	1558.000	1367.000
D	979.000		1154.000
A D HD 1019.350 2 3
B D HD 785.670 2 3
D C HD 616.300 2 3
A B	0.00000000      1.4142
A C	23.173027778    1.4142
A D	50.110138889    1.4142
B C	0.000000000     1.4142
B D	48.397083333    1.4142
B A	132.946916667   1.4142
C D	0.00000000      1.4142
C A	48.521500000    1.4142
C B	72.400555556    1.4142
D A	0.000000000     1.4142
D B	45.340916667    1.4142
D C	104.544361111   1.4142
